N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
1.2,250,0.6,-0.057489578241297724,-0.031760031968899,-0.1425332372556904,2.4792882747798877,4.487817814392191
1.2,250,0.65,-0.056733765469897446,-0.03198813087965234,-0.14372514529856834,2.5333263905218475,4.493077317937071
1.2,250,0.7,-0.05596604618821738,-0.032219823090069544,-0.14496203488357554,2.5901782376417835,4.499156760679242
1.2,300,0.5,-0.05929671200997517,-0.02985620776586974,-0.14104165863465526,2.3785746941740813,4.724031254762625
1.2,300,0.55,-0.05856179446364537,-0.030068348344292103,-0.14217514629242092,2.4277798792638086,4.728398935135063
1.2,300,0.6,-0.057815624907407964,-0.030283736916638278,-0.1433416009320086,2.4792882747798877,4.733286427846851
1.2,300,0.65,-0.05705784968115694,-0.03050247557129106,-0.14454615638370347,2.533326390521848,4.738833608631765
1.2,300,0.7,-0.05628807382702753,-0.030724678315117923,-0.14579614386554074,2.590178237641783,4.7452455765436765
1.2,350,0.5,-0.059564787671475335,-0.028670782749573964,-0.14167929661922354,2.3785746941740813,4.94159150996074
1.2,350,0.55,-0.05882843736701925,-0.028875427962881353,-0.14282249656818052,2.4277798792638086,4.946160339225978
1.2,350,0.6,-0.05808076471362905,-0.029083219861911862,-0.14399895894474996,2.4792882747798877,4.951272920552195
1.2,350,0.65,-0.05732141309254938,-0.029294257564252597,-0.1452138485293599,2.5333263905218475,4.957075570556957
1.2,350,0.7,-0.056549984368123446,-0.029508651712291185,-0.14647453884929637,2.590178237641783,4.963782834858755
1.2,400,0.5,-0.059789296122804106,-0.027678011028492846,-0.14221330674018237,2.3785746941740813,5.13813317704738
1.2,400,0.55,-0.05905175909133963,-0.027876320038171924,-0.14336467255708804,2.4277798792638086,5.142883722125958
1.2,400,0.6,-0.058302840856947216,-0.028077689224438415,-0.144549549722987,2.4792882747798877,5.148199645901528
1.2,400,0.65,-0.057542182314922724,-0.028282215150092927,-0.14577312902661327,2.5333263905218475,5.154233084395948
1.2,400,0.7,-0.056769382659726995,-0.02849000557698095,-0.14704281952958367,2.590178237641783,5.161207116378725
1.3,200,0.5,-0.057524863713383376,-0.03333798646841266,-0.13808980882524077,2.400523876306267,4.142116049992377
1.3,200,0.55,-0.05679310979816812,-0.033569874380514425,-0.13917887671572188,2.450629613527716,4.145945711268673
1.3,200,0.6,-0.056050374906100875,-0.03380524209492575,-0.14029956888212466,2.503097777974962,4.150231153149588
1.3,200,0.65,-0.055296317200081824,-0.03404419793072506,-0.1414568773327673,2.558160913699294,4.155095021495623
1.3,200,0.7,-0.054530554363577614,-0.03428686304398249,-0.14265793912011135,2.6161101933597126,4.160717150971573
1.3,250,0.5,-0.05794218503191214,-0.03146101870525122,-0.1390915986144607,2.400523876306267,4.421077394777577
