C,form,N,D,Q,L,C_train,C_Q,C_attn,C_total,s_train,s_Q,s_attn
1.2589254117941714e+18,exp,0.09741465209662324,1.6802020033541258,0.49525020995820734,3.8635579015223582,9.820577616527493e+17,1.4278403041710016e+17,1.3408361972432205e+17,1.2589254117941714e+18,0.780076208210905,0.11341738682803292,0.10650640496106223
1.4125375446227497e+18,exp,0.10419099563516318,1.7403586960475497,0.5085029121840983,3.8255249730375787,1.0879782318210511e+18,1.760140182170644e+17,1.485452945846342e+17,1.4125375446227497e+18,0.770229602719424,0.124608382189284,0.10516201509129204
1.5848931924611108e+18,exp,0.11131439913876107,1.8063090635238739,0.5215483278351766,3.787892138709723,1.2064092483903493e+18,2.137688680238656e+17,1.6471507604689568e+17,1.5848931924611105e+18,0.7611927757207221,0.1348790373008754,0.10392818697840257
1.7782794100389228e+18,exp,0.11880779328333867,1.8780790890783472,0.5344121567433833,3.7506757349778965,1.3387825931098875e+18,2.567083668830985e+17,1.8278845004593664e+17,1.7782794100389228e+18,0.7528527775511861,0.14435772322049192,0.10278949922832194
1.995262314968883e+18,exp,0.12669471699456988,1.955756478606802,0.5471158410596577,3.7138890333917622,1.486704081404312e+18,3.055735696501689e+17,2.0298466391440208e+17,1.995262314968883e+18,0.7451171057814009,0.1531495720425785,0.10173332217602062
2.238721138568347e+18,exp,0.13499941238772847,2.0394814137859556,0.5596773608234461,3.677542734968573,1.6519727546207862e+18,3.6119903718333606e+17,2.255493467642247e+17,2.238721138568347e+18,0.7379091241695319,0.16134168341052132,0.10074919241994677
2.511886431509572e+18,exp,0.14374702488302224,2.1294384923648666,0.5721119279648217,3.64164536572327,1.8366026876930268e+18,4.245262568568574e+17,2.5075748695968797e+17,2.511886431509572e+18,0.7311646994284217,0.16900694694295126,0.09982835362862717
2.818382931264449e+18,exp,0.15296365417717583,2.2258520146336687,0.5844327025343866,3.6062035976795883,2.0428467468959677e+18,4.966195085256184e+17,2.7891667584286282e+17,2.818382931264449e+18,0.7248293779509436,0.1762072509794875,0.09896337106956885
3.1622776601683794e+18,exp,0.16267659085388636,2.3289817005228466,0.5966509940620002,3.571222512646557,2.2732248192128617e+18,5.786818789723218e+17,3.103709619831961e+17,3.1622776601683794e+18,0.7188568062337135,0.1829952778218435,0.09814791594444304
3.5481338923357604e+18,exp,0.17291424180606813,2.4391222470752707,0.6087766880323695,3.5367058213176112,2.5305538441520015e+18,6.72075096662205e+17,3.455049515215533e+17,3.54813389233576e+18,0.7132069761003639,0.1894164980960664,0.09737652580356969
3.9810717055349857e+18,exp,0.18370640434312263,2.5566001341438342,0.6208184224078084,3.5026560469904062,2.8179829079202524e+18,7.783401979200175e+17,3.847485996947118e+17,3.9810717055349816e+18,0.7078453030630776,0.19551021822537687,0.09664447871154554
4.4668359215096166e+18,exp,0.19508424138860814,2.681774040706425,0.6327838638285403,3.469074680909434,3.1390311258412513e+18,8.99222412620173e+17,4.285823830481922e+17,4.4668359215096166e+18,0.7027415336044806,0.20131082234072098,0.09594764405479841
5.011872336272715e+18,exp,0.20708042955069642,2.8150343401262488,0.644679787532032,3.4359623145850082,3.497631122119829e+18,1.0366979782794556e+18,4.775432358734273e+17,5.011872336272712e+18,0.6978691569628026,0.20684844080654285,0.09528240223065465
5.623413251903491e+18,exp,0.2197292396200651,2.9568031475883636,0.656512284049173,3.403318753237867,3.8981766439548375e+18,1.1930055568273528e+18,5.322310511213005e+17,5.623413251903491e+18,0.6932047262639516,0.21214972177681016,0.0946455519592382
6.309573444801943e+18,exp,0.2330666666155188,3.107534962043952,0.6682867644023147,3.3711431136249237,4.3455768899685996e+18,1.370680456789631e+18,5.933160980437129e+17,6.309573444801943e+18,0.688727523022756,0.2172382125005372,0.09403426447670696
7.079457843841402e+18,exp,0.24713042905263244,3.2677179375781154,0.6800081727152473,3.3394339088291294,4.845315215619977e+18,1.572595590782109e+18,6.615470374393143e+17,7.0794578438414e+18,0.6844189657595094,0.22213503144879235,0.09344600279169836
7.943282347242789e+18,exp,0.2619601500748482,3.4378748216322252,0.6916809105081321,3.308189122083397,5.403517225279918e+18,1.8020049034713157e+18,7.377602184915514e+17,7.943282347242786e+18,0.6802625147972422,0.2268589765157743,0.09287850868698345
8.91250938133744e+18,exp,0.277597495375337,3.618562879092968,0.703309089430799,3.2774062713025542,6.027023952566258e+18,2.0625957584474675e+18,8.228896703237132e+17,8.912509381337438e+18,0.6762432099299316,0.2314270504743018,0.09232973959576667
1e+19,exp,0.2940861529676743,3.8103776626190795,0.7148963947016942,3.2470824656880852,6.723475848921624e+18,2.35854558183894e+18,9.179785692394323e+17,9.999999999999996e+18,0.6723475848921626,0.23585455818389411,0.09179785692394327
1.1220184543019653e+19,exp,0.3114720595847831,4.013952753018646,0.7264462576363909,3.2172144555262174,7.501404786352367e+18,2.694587956503977e+18,1.02419180016331e+18,1.1220184543019653e+19,0.6685634053157504,0.24015540441180577,0.09128119027244382
1.2589254117941713e+19,exp,0.32980348404490284,4.229962399903284,0.7379618106379991,3.187798676105047,8.37033802120225e+18,3.0760859455779814e+18,1.1428301511614807e+18,1.2589254117941713e+19,0.6648795824427097,0.24434219190111223,0.09077822565617798
1.4125375446227497e+19,exp,0.3491310606879259,4.4591234952616,0.7494460384593877,3.1588312865190087,9.340911093834803e+18,3.509118624381112e+18,1.275345728011578e+18,1.4125375446227493e+19,0.6612858631187399,0.2484265737034482,0.09028756317781193
1.5848931924611109e+19,exp,0.3695081217975398,4.702196274907263,0.7609017100634458,3.1303082040003054,1.0424998283186225e+19,4.000573875827189e+18,1.4233597655976924e+18,1.5848931924611107e+19,0.6577729232969766,0.25241914690887624,0.08980792979414719
